Year;Month;Date;Zip Code;Active Energy (kWh)
2022;3;2022-03;2405;10958056.774
2022;3;2022-03;2410;8050433.192
2022;3;2022-03;2430;42897895.771
2022;3;2022-03;2435;4482662.869
2022;3;2022-03;2440;5226757.468
2022;3;2022-03;2445;8007624.355
2022;3;2022-03;2460;15707451.824
2022;3;2022-03;2485;885976.143
2022;3;2022-03;2525;2779133.754
2022;3;2022-03;2530;7184926.281
2022;3;2022-03;2560;17539664.601
2022;3;2022-03;2610;7713963.431
2022;3;2022-03;2620;5965410.101
2022;3;2022-03;2625;22861227.459
2022;3;2022-03;2650;7746065.196
2022;3;2022-03;2655;4214092.998
2022;3;2022-03;2670;13864211.992
2022;3;2022-03;2680;4486473.0
2022;3;2022-03;2720;7336401.267
2022;3;2022-03;2735;12976131.896
2022;3;2022-03;2745;10336974.005
2022;3;2022-03;2755;3099975.489
2022;3;2022-03;2765;9539969.204
2022;3;2022-03;2775;10053489.307
2022;3;2022-03;2800;5533820.878
2022;3;2022-03;2815;2154365.857
2022;3;2022-03;2845;9630811.843
2022;3;2022-03;2860;7892101.922
2022;3;2022-03;2870;13108643.884
2022;3;2022-03;2900;23141583.114
2022;3;2022-03;2910;50967787.8
2022;3;2022-03;2965;4318664.136
2022;3;2022-03;3000;12675615.231
2022;3;2022-03;3060;18891799.026
2022;3;2022-03;3080;8543081.939
2022;3;2022-03;3090;98915970.021
2022;3;2022-03;3250;1396338.672
2022;3;2022-03;3305;754590.451
2022;3;2022-03;3330;911878.354
2022;3;2022-03;3360;3356051.643
2022;3;2022-03;3430;2687795.057
2022;3;2022-03;3440;2570969.669
2022;3;2022-03;3450;4811175.812
2022;3;2022-03;3505;5830901.76
2022;3;2022-03;3525;1040168.788
2022;3;2022-03;3560;2599430.127
2022;3;2022-03;3610;1845716.58
2022;3;2022-03;3620;2976847.433
2022;3;2022-03;3630;579630.688
2022;3;2022-03;3640;1524887.012
2022;3;2022-03;3650;1127292.452
2022;3;2022-03;3670;2284553.379
2022;3;2022-03;3720;26493172.678
2022;3;2022-03;3750;27160618.334
2022;3;2022-03;3880;15576138.196
2022;3;2022-03;3885;15418024.183
2022;3;2022-03;4000;14439315.964
2022;3;2022-03;4100;16996429.978
2022;3;2022-03;4150;17847629.285
2022;3;2022-03;4200;17737835.36
2022;3;2022-03;4300;8810420.765
2022;3;2022-03;4400;21918078.686
2022;3;2022-03;4405;11799202.109
2022;3;2022-03;4420;8274650.783
2022;3;2022-03;4430;20183806.63
2022;3;2022-03;4435;13865087.593
2022;3;2022-03;4465;13660860.636
2022;3;2022-03;4485;17761139.77
2022;3;2022-03;4495;3024626.18
2022;3;2022-03;4505;10067805.71
2022;3;2022-03;4510;8707160.069
2022;3;2022-03;4515;3280661.715
2022;3;2022-03;4525;4210221.528
2022;3;2022-03;4560;13907025.351
2022;3;2022-03;4580;11860082.162
2022;3;2022-03;4615;3835612.432
2022;3;2022-03;4690;2832003.078
2022;3;2022-03;4705;15757118.119
2022;3;2022-03;4710;14083920.583
2022;3;2022-03;4720;3987697.492
2022;3;2022-03;4770;21047698.492
2022;3;2022-03;4785;12501414.945
2022;3;2022-03;4825;6686361.1
2022;3;2022-03;4845;685623.664
2022;3;2022-03;4850;4010315.698
2022;3;2022-03;4880;1320515.588
2022;3;2022-03;4890;3250788.3
2022;3;2022-03;4905;24830220.32
2022;3;2022-03;4940;2218568.364
2022;3;2022-03;5030;1100074.472
2022;3;2022-03;5140;1306188.282
2022;3;2022-03;5150;1326061.204
2022;3;2022-03;5180;784672.213
2022;3;2022-03;5350;1090745.197
2022;3;2022-03;5360;1773253.821
2022;3;2022-03;5425;875231.639
2022;3;2022-03;5450;4648567.865
2022;3;2022-03;5460;1668455.85
2022;3;2022-03;5470;2070121.943
2022;3;2022-03;6000;14326495.806
2022;3;2022-03;6060;2567876.446
2022;3;2022-03;6110;852001.179
2022;3;2022-03;6120;2099220.705
2022;3;2022-03;6150;1756218.753
2022;3;2022-03;6215;1904250.515
2022;3;2022-03;6225;1726575.324
2022;3;2022-03;6260;887484.692
2022;3;2022-03;6270;5859510.849
2022;3;2022-03;6285;104124.744
2022;3;2022-03;6355;1098548.622
2022;3;2022-03;6420;2191623.573
2022;3;2022-03;7040;2338179.091
2022;3;2022-03;7100;4229389.306
2022;3;2022-03;7150;1936850.121
2022;3;2022-03;7170;1485199.563
2022;3;2022-03;7200;4089535.634
2022;3;2022-03;7320;1389078.522
2022;3;2022-03;7330;1014084.794
2022;3;2022-03;7425;938768.263
2022;3;2022-03;7440;1050650.356
2022;3;2022-03;7450;1007371.581
2022;3;2022-03;7460;868328.105
2022;3;2022-03;7470;1556477.582
2022;3;2022-03;7520;59936536.336
2022;3;2022-03;7570;6253488.895
